ID,RID,RCT,RMT,Section,Ordinal,Label,NCBI_GeneID,NCBI_Symbol,Value,Probe_Set_Name,Section_Ordinal,Site_RID,Section_RID,Probe_Set_RID
11819825,1-FWT8,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),302,E11.5_MetanephMes_7102,12267,C3ar1,5.75706,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819826,1-FWTA,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),303,E11.5_MetanephMes_7103,12267,C3ar1,7.97907,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819827,1-FWTC,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),304,E11.5_MetanephMes_7104,12267,C3ar1,6.24494,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819828,1-FWTE,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),305,E11.5_MetanephMes_7105,12267,C3ar1,7.24869,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819829,1-FWTG,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),306,E11.5_MetanephMes_7106,12267,C3ar1,6.89075,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819830,1-FWTJ,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),307,E11.5_MetanephMes_7107,12267,C3ar1,6.3381,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819831,1-FWTM,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),308,E11.5_MetanephMes_7108,12267,C3ar1,7.49508,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819832,1-FWTP,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),309,E11.5_MetanephMes_7109,12267,C3ar1,5.95319,1419482_at,3,N-GGKC,N-C84G,N-6QNA
11819833,1-FWTR,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),310,E11.5_UretBud_7110,12267,C3ar1,5.00481,1419482_at,3,N-GGKE,N-C84G,N-6QNA
11819834,1-FWTT,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),311,E11.5_UretBud_7111,12267,C3ar1,5.00338,1419482_at,3,N-GGKE,N-C84G,N-6QNA
11819835,1-FWTW,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),312,E11.5_UretBud_7112,12267,C3ar1,5.91662,1419482_at,3,N-GGKE,N-C84G,N-6QNA
11819836,1-FWTY,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),313,E11.5_UretBud_7113,12267,C3ar1,4.83994,1419482_at,3,N-GGKE,N-C84G,N-6QNA
11819837,1-FWV0,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),314,E12.5_RenVes_7077,12267,C3ar1,5.47389,1419482_at,3,N-GGP0,N-C84G,N-6QNA
11819838,1-FWV2,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),315,E12.5_RenVes_7078,12267,C3ar1,5.13965,1419482_at,3,N-GGP0,N-C84G,N-6QNA
11819839,1-FWV4,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),316,E12.5_RenVes_7079,12267,C3ar1,5.99017,1419482_at,3,N-GGP0,N-C84G,N-6QNA
11819840,1-FWV6,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),317,E12.5_RenVes_7080,12267,C3ar1,5.31127,1419482_at,3,N-GGP0,N-C84G,N-6QNA
11819841,1-FWV8,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),318,E12.5_RenVes_7081,12267,C3ar1,5.7828,1419482_at,3,N-GGP0,N-C84G,N-6QNA
11819842,1-FWVA,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),319,E13.5_Podocyte_MafB2_11686,12267,C3ar1,6.47355,1419482_at,3,N-GGG8,N-C84G,N-6QNA
11819843,1-FWVC,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),320,E13.5_Podocyte_MafB2_11687,12267,C3ar1,7.4344,1419482_at,3,N-GGG8,N-C84G,N-6QNA
11819844,1-FWVE,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),321,E13.5_Podocyte_MafB2_11688,12267,C3ar1,7.54779,1419482_at,3,N-GGG8,N-C84G,N-6QNA
11819845,1-FWVG,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),322,E14.5_Kidney_WT_7165,12267,C3ar1,5.49718,1419482_at,3,N-GGMA,N-C84G,N-6QNA
11819846,1-FWVJ,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),323,E14.5_Kidney_WT_7166,12267,C3ar1,5.46286,1419482_at,3,N-GGMA,N-C84G,N-6QNA
11819847,1-FWVM,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),324,E14.5_Kidney_Wnt4mut_7167,12267,C3ar1,5.64857,1419482_at,3,N-GGMC,N-C84G,N-6QNA
11819848,1-FWVP,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),325,E14.5_Kidney_Wnt4mut_7168,12267,C3ar1,5.44652,1419482_at,3,N-GGMC,N-C84G,N-6QNA
11819849,1-FWVR,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),326,E15.5_LOHenleAnlag_8104,12267,C3ar1,5.88597,1419482_at,3,N-GGK2,N-C84G,N-6QNA
11819850,1-FWVT,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),327,E15.5_LOHenleAnlag_8105,12267,C3ar1,5.47757,1419482_at,3,N-GGK2,N-C84G,N-6QNA
11819851,1-FWVW,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),328,E15.5_LOHenleAnlag_8106,12267,C3ar1,5.69985,1419482_at,3,N-GGK2,N-C84G,N-6QNA
11819852,1-FWVY,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),329,E15.5_CapMes_Six2_10720,12267,C3ar1,4.86976,1419482_at,3,N-GGP2,N-C84G,N-6QNA
11819853,1-FWW0,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),330,E15.5_CapMes_Six2_10721,12267,C3ar1,4.79805,1419482_at,3,N-GGP2,N-C84G,N-6QNA
11819854,1-FWW2,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),331,E15.5_CapMes_Six2_10722,12267,C3ar1,5.46654,1419482_at,3,N-GGP2,N-C84G,N-6QNA
11819855,1-FWW4,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),332,E15.5_ColDuctCortic_7129,12267,C3ar1,5.96668,1419482_at,3,N-GGGA,N-C84G,N-6QNA
11819856,1-FWW6,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),333,E15.5_ColDuctCortic_7130,12267,C3ar1,5.83408,1419482_at,3,N-GGGA,N-C84G,N-6QNA
11819857,1-FWW8,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),334,E15.5_ColDuctCortic_8103,12267,C3ar1,5.10982,1419482_at,3,N-GGGA,N-C84G,N-6QNA
11819858,1-FWWA,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),335,E15.5_ProxTubule_7086,12267,C3ar1,5.76891,1419482_at,3,N-GGNM,N-C84G,N-6QNA
11819859,1-FWWC,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),336,E15.5_ProxTubule_7087,12267,C3ar1,5.4412,1419482_at,3,N-GGNM,N-C84G,N-6QNA
11819860,1-FWWE,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),337,E15.5_Endothelium_Flk1_9439,12267,C3ar1,8.32251,1419482_at,3,N-GGQ0,N-C84G,N-6QNA
11819861,1-FWWG,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),338,E15.5_Endothelium_Flk1_9440,12267,C3ar1,9.24474,1419482_at,3,N-GGQ0,N-C84G,N-6QNA
11819862,1-FWWJ,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),339,E15.5_ColDuctMedul_7088,12267,C3ar1,6.20469,1419482_at,3,N-GGPC,N-C84G,N-6QNA
11819863,1-FWWM,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),340,E15.5_ColDuctMedul_7089,12267,C3ar1,5.50842,1419482_at,3,N-GGPC,N-C84G,N-6QNA
11819864,1-FWWP,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),341,E15.5_ColDuctMedul_7090,12267,C3ar1,5.65123,1419482_at,3,N-GGPC,N-C84G,N-6QNA
11819865,1-FWWR,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),342,E15.5_InterstitMedull_7098,12267,C3ar1,6.05923,1419482_at,3,N-GGPR,N-C84G,N-6QNA
11819866,1-FWWT,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),343,E15.5_InterstitMedull_7099,12267,C3ar1,5.02401,1419482_at,3,N-GGPR,N-C84G,N-6QNA
11819867,1-FWWW,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),344,E15.5_InterstitMedull_7100,12267,C3ar1,5.7256,1419482_at,3,N-GGPR,N-C84G,N-6QNA
11819868,1-FWWY,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),345,E15.5_InterstitMedull_7101,12267,C3ar1,5.49678,1419482_at,3,N-GGPR,N-C84G,N-6QNA
11819869,1-FWX0,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),346,E15.5_NephroInterstit_Meis1_8100,12267,C3ar1,5.44488,1419482_at,3,N-GGP8,N-C84G,N-6QNA
11819870,1-FWX2,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),347,E15.5_NephroInterstit_Meis1_8101,12267,C3ar1,5.54989,1419482_at,3,N-GGP8,N-C84G,N-6QNA
11819871,1-FWX4,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),348,E15.5_NephroInterstit_Meis1_8102,12267,C3ar1,5.29635,1419482_at,3,N-GGP8,N-C84G,N-6QNA
11819872,1-FWX6,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),349,E15.5_Podocyte_MafB2_10711,12267,C3ar1,7.47935,1419482_at,3,N-GGPT,N-C84G,N-6QNA
11819873,1-FWX8,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),350,E15.5_Podocyte_MafB2_10712,12267,C3ar1,7.55923,1419482_at,3,N-GGPT,N-C84G,N-6QNA
11819874,1-FWXA,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),351,E15.5_Podocyte_MafB2_10713,12267,C3ar1,8.58994,1419482_at,3,N-GGPT,N-C84G,N-6QNA
11819875,1-FWXC,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),352,E15.5_ProxTubule_7131,12267,C3ar1,5.94481,1419482_at,3,N-GGP6,N-C84G,N-6QNA
11819876,1-FWXE,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),353,E15.5_ProxTubule_7132,12267,C3ar1,5.12188,1419482_at,3,N-GGP6,N-C84G,N-6QNA
11819877,1-FWXG,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),354,E15.5_ProxTubule_7133,12267,C3ar1,5.62017,1419482_at,3,N-GGP6,N-C84G,N-6QNA
11819878,1-FWXJ,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),355,E15.5_SSbody_7094,12267,C3ar1,5.54949,1419482_at,3,N-GGPA,N-C84G,N-6QNA
11819879,1-FWXM,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),356,E15.5_SSbody_7095,12267,C3ar1,5.40668,1419482_at,3,N-GGPA,N-C84G,N-6QNA
11819880,1-FWXP,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),357,E15.5_SSbody_7096,12267,C3ar1,6.827,1419482_at,3,N-GGPA,N-C84G,N-6QNA
11819881,1-FWXR,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),358,E15.5_SSbody_7097,12267,C3ar1,5.30616,1419482_at,3,N-GGPA,N-C84G,N-6QNA
11819882,1-FWXT,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),359,E15.5_RenCorpusc_7082,12267,C3ar1,5.64244,1419482_at,3,N-GGPW,N-C84G,N-6QNA
11819883,1-FWXW,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),360,E15.5_RenCorpusc_7083,12267,C3ar1,5.35621,1419482_at,3,N-GGPW,N-C84G,N-6QNA
11819884,1-FWXY,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),361,E15.5_RenCorpusc_7084,12267,C3ar1,6.16955,1419482_at,3,N-GGPW,N-C84G,N-6QNA
11819885,1-FWY0,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),362,E15.5_RenCorpusc_7085,12267,C3ar1,5.95932,1419482_at,3,N-GGPW,N-C84G,N-6QNA
11819886,1-FWY2,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),363,E15.5_UretSmooMusc_7134,12267,C3ar1,5.27572,1419482_at,3,N-GGMY,N-C84G,N-6QNA
11819887,1-FWY4,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),364,E15.5_UretSmooMusc_7135,12267,C3ar1,5.29472,1419482_at,3,N-GGMY,N-C84G,N-6QNA
11819888,1-FWY6,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),365,E15.5_UretSmooMusc_7136,12267,C3ar1,5.1468,1419482_at,3,N-GGMY,N-C84G,N-6QNA
11819889,1-FWY8,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),366,E15.5_UreticTip_7091,12267,C3ar1,5.10676,1419482_at,3,N-GGMG,N-C84G,N-6QNA
11819890,1-FWYA,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),367,E15.5_UreticTip_7092,12267,C3ar1,5.22791,1419482_at,3,N-GGMG,N-C84G,N-6QNA
11819891,1-FWYC,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),368,E15.5_UreticTip_7093,12267,C3ar1,5.07591,1419482_at,3,N-GGMG,N-C84G,N-6QNA
11819892,1-FWYE,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),369,P1_Mouse_ref_99999,12267,C3ar1,8.30249,1419482_at,3,N-GGNJ,N-C84G,N-6QNA
11819893,1-FWYG,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),370,P1_Mouse_ref_6970,12267,C3ar1,6.2858,1419482_at,3,N-GGNJ,N-C84G,N-6QNA
11819894,1-FWYJ,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),371,P1_Mouse_ref_7128,12267,C3ar1,7.58456,1419482_at,3,N-GGNJ,N-C84G,N-6QNA
11819895,1-FWYM,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),372,P1_Mouse_ref_7395,12267,C3ar1,6.86296,1419482_at,3,N-GGNJ,N-C84G,N-6QNA
11820022,1-FX6J,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),302,E11.5_MetanephMes_7102,12267,C3ar1,5.27429,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820023,1-FX6M,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),303,E11.5_MetanephMes_7103,12267,C3ar1,5.03321,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820024,1-FX6P,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),304,E11.5_MetanephMes_7104,12267,C3ar1,4.33183,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820025,1-FX6R,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),305,E11.5_MetanephMes_7105,12267,C3ar1,4.71204,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820026,1-FX6T,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),306,E11.5_MetanephMes_7106,12267,C3ar1,5.66573,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820027,1-FX6W,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),307,E11.5_MetanephMes_7107,12267,C3ar1,5.45632,1419483_at,3,N-GGKC,N-C84G,N-6QNC
11820028,1-FX6Y,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),308,E11.5_MetanephMes_7108,12267,C3ar1,5.92132,1419483_at,3,N-GGKC,N-C84G,N-6QNC
